,0
0,168
1,240
2,168
3,240
4,120
5,120
6,168
7,96
8,240
9,240
10,240
11,240
12,168
13,96
14,240
15,240
16,240
17,168
18,168
19,168
20,168
21,168
22,120
23,168
24,168
25,168
26,120
27,168
28,168
29,240
30,168
31,72
32,168
33,120
34,240
35,168
36,168
37,168
38,168
39,168
40,120
41,168
42,120
43,120
44,72
45,168
46,168
47,168
48,120
49,120
50,168
51,120
52,168
53,72
54,120
55,72
56,96
57,168
58,120
59,240
60,120
61,168
62,168
63,240
64,240
65,240
66,168
67,168
68,240
69,120
70,168
71,168
72,120
73,240
74,168
75,168
76,96
77,240
78,120
79,168
80,120
81,168
82,120
83,168
84,168
85,168
86,72
87,168
88,168
89,120
90,96
91,120
92,72
93,168
94,168
95,72
96,168
97,168
98,168
99,96
100,96
101,240
102,240
103,168
104,168
105,120
106,120
107,240
108,72
109,120
110,168
111,168
112,96
113,240
114,168
115,120
116,96
117,168
118,120
119,168
120,168
121,96
122,240
123,240
124,240
125,168
126,168
127,96
128,168
129,168
130,240
131,168
132,168
133,168
134,168
135,168
136,120
137,120
138,168
139,168
140,168
141,240
142,168
143,240
144,120
145,168
146,120
147,120
148,96
149,120
150,240
151,120
152,168
153,168
154,120
155,72
156,96
157,168
158,72
159,120
160,168
161,96
162,240
163,120
164,72
165,120
166,72
167,96
168,240
169,168
170,240
171,240
172,120
173,240
174,240
175,168
176,240
177,168
178,120
179,168
180,72
181,72
182,240
183,168
184,120
185,96
186,240
187,240
188,168
189,72
190,168
191,120
192,168
193,240
194,168
195,168
196,240
197,168
198,240
199,240
200,168
201,96
202,72
203,240
204,240
205,120
206,168
207,240
208,168
209,96
210,96
211,240
212,72
213,120
214,72
215,240
216,168
217,240
218,168
219,72
220,168
221,168
222,240
223,72
224,168
225,96
226,168
227,120
228,120
229,240
230,168
231,120
232,120
233,240
234,120
235,96
236,240
237,96
238,168
239,96
240,168
241,120
242,168
243,168
244,72
245,72
246,72
247,120
248,240
249,120
250,168
251,120
252,168
253,120
254,168
255,168
